date,edit_count
2017-02-21,3
2017-02-22,13
2017-02-23,2
2017-02-24,1
2017-04-03,31
2017-04-05,8
2017-04-06,1
2017-05-12,1
2017-05-25,1
2017-05-28,3
2017-06-22,1
2017-07-03,1
2017-08-04,2
2017-08-06,3
2017-08-07,1
2018-01-08,1
2018-05-02,1
2018-12-25,1
2019-02-09,1
2019-06-12,3
2019-07-09,1
2019-08-08,1
2019-12-23,1
2020-09-19,1
2021-04-26,1
2021-05-17,1
2021-11-02,1
2022-01-05,1
2022-05-15,1
2022-08-14,1
2022-08-21,1
2023-07-10,1
2023-08-09,1
2023-09-04,1
2024-04-21,1
2024-09-14,1
2024-10-12,1
2025-02-17,1
2025-02-27,1
2025-10-26,1
2026-02-01,2
2026-03-31,1
2026-04-10,1
2026-05-14,1
