date,edit_count
2017-06-17,1
2017-07-17,1
2017-09-26,10
2017-09-27,1
2017-09-28,2
2017-10-13,1
2017-10-14,1
2017-10-18,5
2017-11-01,3
2017-12-01,2
2017-12-07,1
2017-12-11,3
2017-12-14,1
2018-01-08,1
2018-01-21,1
2018-01-26,2
2018-01-27,1
2018-02-21,1
2018-03-04,1
2018-03-11,1
2018-03-19,4
2018-03-21,4
2018-03-22,2
2018-03-23,1
2018-03-26,1
2018-04-05,1
2018-04-07,2
2018-04-09,1
2018-04-19,1
2018-04-25,1
2018-04-27,2
2018-04-29,1
2018-05-01,4
2018-05-03,1
2018-05-04,1
2018-05-15,1
2018-05-30,4
2018-05-31,11
2018-06-01,3
2018-06-03,1
2018-06-04,1
2018-06-08,1
2018-06-11,1
2018-06-13,2
2018-06-23,1
2018-06-24,1
2018-06-25,5
2018-06-26,1
2018-06-27,6
2018-06-28,4
2018-07-02,4
2018-07-07,6
2018-07-16,1
2018-07-17,2
2018-07-18,1
2018-07-21,1
2018-08-01,4
2018-08-08,2
2018-08-11,3
2018-08-21,1
2018-08-23,1
2018-08-28,5
2018-08-31,2
2018-09-16,1
2018-09-24,1
2018-09-28,1
2018-10-05,3
2018-10-16,1
2018-10-26,4
2018-10-27,5
2018-11-01,2
2018-11-02,1
2018-11-03,1
2018-11-17,1
2018-12-04,1
2018-12-06,10
2019-01-02,2
2019-01-05,1
2019-01-20,1
2019-01-21,1
2019-01-22,1
2019-03-19,3
2019-03-27,3
2019-04-09,2
2019-05-04,1
2019-05-26,1
2019-05-28,2
2019-05-29,1
2019-06-01,2
2019-06-12,2
2019-06-14,1
2019-06-15,2
2019-06-17,1
2019-06-18,1
2019-06-21,5
2019-06-30,2
2019-07-01,3
2019-07-02,1
2019-07-08,4
2019-07-12,1
2019-07-14,2
2019-07-15,2
2019-07-27,1
2019-08-11,2
2019-08-22,5
2019-08-28,1
2019-08-29,2
2019-09-18,1
2019-09-24,1
2019-09-26,2
2019-09-30,2
2019-10-08,5
2019-10-29,1
2019-11-30,3
2019-12-02,4
2019-12-19,2
2019-12-23,1
2020-01-01,1
2020-01-07,1
2020-01-12,2
2020-01-13,2
2020-01-15,2
2020-02-13,1
2020-02-15,1
2020-02-28,1
2020-02-29,1
2020-03-03,3
2020-03-14,2
2020-03-25,2
2020-03-29,7
2020-03-30,1
2020-04-03,1
2020-04-04,2
2020-04-20,2
2020-04-21,1
2020-05-05,1
2020-05-16,1
2020-06-13,1
2020-06-18,4
2020-06-29,3
2020-06-30,1
2020-07-01,1
2020-07-11,2
2020-07-12,2
2020-08-05,1
2020-08-06,5
2020-08-07,3
2020-08-16,1
2020-08-31,3
2020-09-03,1
2020-09-25,2
2020-09-28,3
2020-10-04,3
2020-10-07,1
2020-10-08,2
2020-10-13,1
2020-10-17,2
2020-10-19,3
2020-10-23,1
2020-10-25,2
2020-10-26,1
2020-11-14,1
2020-11-17,2
2020-11-18,1
2020-11-19,1
2020-11-20,1
2020-11-21,1
2020-11-23,1
2020-12-05,1
2020-12-11,3
2020-12-13,4
2020-12-16,1
2020-12-18,4
2020-12-20,2
2020-12-25,4
2021-01-01,2
2021-01-05,1
2021-01-08,1
2021-01-11,15
2021-01-12,24
2021-01-13,3
2021-01-14,1
2021-01-18,1
2021-01-21,1
2021-02-01,2
2021-02-09,1
2021-02-11,1
2021-02-21,1
2021-02-27,15
2021-03-04,2
2021-03-07,3
2021-03-08,1
2021-03-22,1
2021-05-16,1
2021-06-02,7
2021-06-03,4
2021-06-07,3
2021-06-09,1
2021-06-15,4
2021-06-18,1
2021-06-23,1
2021-07-01,1
2021-08-04,1
2021-08-15,1
2021-08-17,1
2021-08-21,1
2021-09-05,2
2021-09-10,1
2021-09-11,1
2021-09-15,1
2021-09-18,3
2021-09-26,1
2021-10-17,1
2021-10-25,3
2021-10-26,1
2021-11-10,1
2021-11-19,1
2021-11-21,1
2021-11-22,1
2021-11-26,1
2021-11-28,1
2021-12-07,1
2021-12-08,1
2021-12-11,1
2021-12-15,2
2021-12-17,2
2021-12-24,1
2022-01-07,1
2022-01-08,1
2022-01-16,1
2022-02-03,1
2022-02-04,1
2022-03-08,1
2022-03-15,2
2022-03-20,1
2022-03-25,2
2022-04-25,2
2022-05-15,2
2022-05-18,1
2022-05-21,1
2022-05-22,1
2022-05-23,1
2022-06-22,5
2022-07-03,1
2022-08-09,1
2022-09-25,2
2022-11-06,1
2022-11-14,5
2022-11-22,1
2022-11-24,1
2022-12-03,2
2022-12-09,1
2022-12-10,1
2022-12-14,1
2022-12-20,1
2022-12-23,2
2022-12-27,1
2022-12-28,1
2022-12-30,1
2023-01-04,1
2023-01-06,4
2023-01-09,1
2023-01-18,1
2023-01-19,2
2023-01-23,1
2023-03-20,2
2023-03-27,3
2023-05-06,1
2023-05-15,1
2023-05-18,1
2023-06-20,1
2023-08-05,1
2023-08-23,1
2023-08-31,1
2023-09-26,1
2023-10-29,1
2023-12-09,1
2023-12-31,1
2024-01-06,2
2024-01-15,1
2024-01-23,1
2024-01-27,2
2024-03-04,2
2024-04-27,1
2024-07-02,1
2024-07-03,1
2024-07-08,2
2024-07-15,1
2024-07-21,1
2024-08-04,1
2024-08-27,1
2024-09-04,1
2024-09-15,3
2024-09-16,5
2024-09-17,1
2024-09-24,1
2024-09-30,1
2024-12-23,5
2025-01-02,1
2025-01-24,1
2025-04-05,1
2025-04-28,2
2025-05-01,1
2025-05-31,1
2025-06-05,3
2025-06-06,13
2025-06-18,4
2025-07-21,1
2025-07-25,2
2025-09-25,3
2025-09-26,2
2025-09-29,1
2025-11-03,1
2026-02-01,1
2026-03-17,1
2026-04-03,1
2026-04-30,2
2026-05-03,2
2026-05-05,2
2026-05-06,1
