date,edit_count
2017-11-20,5
2017-11-21,6
2017-11-24,17
2017-11-25,2
2017-11-26,2
2017-11-27,1
2017-12-15,1
2017-12-18,11
2017-12-19,2
2017-12-20,1
2018-01-04,1
2018-01-05,1
2018-03-04,4
2018-04-02,2
2018-06-10,2
2018-07-07,2
2018-07-09,1
2018-07-29,1
2018-08-11,2
2018-08-28,1
2018-09-04,2
2018-09-07,1
2018-09-13,1
2018-09-14,1
2018-09-18,1
2018-10-19,2
2018-10-30,1
2018-11-03,1
2018-11-24,2
2018-11-28,1
2018-12-26,1
2019-01-02,1
2019-01-05,1
2019-01-13,1
2019-02-01,1
2019-02-25,1
2019-06-02,3
2019-07-25,1
2019-08-07,1
2019-08-24,1
2019-10-19,8
2019-10-23,1
2019-10-30,1
2019-11-16,1
2019-12-05,2
2019-12-18,1
2020-01-15,2
2020-04-15,1
2020-04-16,1
2020-04-17,2
2020-04-22,2
2020-06-01,6
2020-06-16,1
2020-07-11,3
2020-09-15,4
2020-09-22,1
2020-09-27,1
2020-10-05,3
2020-10-06,2
2020-10-07,1
2020-10-17,1
2020-11-21,3
2020-11-26,1
2020-11-29,3
2020-12-03,1
2020-12-07,1
2021-01-14,1
2021-01-18,1
2021-01-21,1
2021-02-14,1
2021-03-30,1
2021-05-02,1
2021-05-06,1
2021-05-12,1
2021-05-14,1
2021-06-02,1
2021-07-26,1
2021-08-03,15
2021-08-18,2
2021-08-20,2
2021-10-05,1
2021-11-14,1
2021-11-23,4
2021-12-22,1
2022-01-04,2
2022-01-12,1
2022-01-15,1
2022-01-25,2
2022-01-31,13
2022-02-01,1
2022-02-17,1
2022-04-01,1
2022-04-07,1
2022-05-23,1
2022-07-24,1
2022-08-06,8
2022-08-27,6
2022-09-03,2
2022-09-20,4
2022-09-23,1
2022-09-27,1
2022-09-28,1
2022-12-17,1
2023-02-13,1
2023-03-05,12
2023-03-06,2
2023-03-07,2
2023-03-10,4
2023-03-11,1
2023-06-11,1
2023-10-08,2
2023-10-15,1
2023-10-16,1
2025-06-20,1
2025-10-15,1
2025-11-05,1
2026-04-01,1
2026-04-02,1
2026-04-24,1
2026-05-15,1
2026-06-22,1
