date,edit_count
2015-11-21,6
2015-11-27,2
2016-01-02,2
2016-01-11,1
2016-01-31,4
2016-02-03,4
2016-02-11,3
2016-02-23,2
2016-02-29,1
2016-03-18,1
2016-03-22,2
2016-03-26,2
2016-03-31,1
2016-04-16,1
2016-04-25,4
2016-06-01,1
2016-06-03,1
2016-06-04,10
2016-06-07,6
2016-06-08,4
2016-06-09,3
2016-06-21,3
2016-06-29,1
2016-06-30,6
2016-07-02,1
2016-07-04,2
2016-07-14,1
2016-07-15,2
2016-07-24,2
2016-07-26,1
2016-08-06,1
2016-08-08,2
2016-08-13,1
2016-08-14,2
2016-08-17,1
2016-08-31,2
2016-09-05,2
2016-09-07,3
2016-09-11,1
2016-09-13,2
2016-09-16,1
2016-09-19,3
2016-09-24,4
2016-09-29,2
2016-10-10,1
2016-10-11,7
2016-10-15,4
2016-10-21,2
2016-10-30,3
2016-11-10,4
2016-11-14,1
2016-11-18,1
2016-11-28,1
2016-12-05,8
2016-12-06,1
2016-12-14,1
2016-12-20,2
2016-12-26,1
2017-01-05,1
2017-01-06,1
2017-01-08,4
2017-02-02,2
2017-02-04,2
2017-02-05,1
2017-02-07,2
2017-02-09,1
2017-02-15,2
2017-02-16,3
2017-02-18,1
2017-02-22,1
2017-02-24,1
2017-02-25,2
2017-02-26,1
2017-03-05,1
2017-03-06,1
2017-03-07,2
2017-03-08,1
2017-03-14,1
2017-03-28,1
2017-04-22,2
2017-04-24,1
2017-04-26,8
2017-04-27,12
2017-04-28,1
2017-04-29,4
2017-04-30,2
2017-05-01,1
2017-05-06,1
2017-05-07,1
2017-05-09,15
2017-05-10,2
2017-05-12,4
2017-05-13,2
2017-05-17,1
2017-05-25,2
2017-05-28,2
2017-06-01,5
2017-06-02,2
2017-06-03,2
2017-06-05,5
2017-06-10,2
2017-06-13,3
2017-06-15,1
2017-06-19,2
2017-06-20,2
2017-06-26,1
2017-06-30,4
2017-07-01,3
2017-07-10,5
2017-07-11,2
2017-07-19,1
2017-07-20,8
2017-07-22,3
2017-07-23,2
2017-07-24,21
2017-07-25,6
2017-07-28,2
2017-07-29,1
2017-08-04,1
2017-08-06,1
2017-08-12,1
2017-08-18,1
2017-08-25,2
2017-08-28,3
2017-08-30,4
2017-09-03,3
2017-09-04,5
2017-09-09,1
2017-09-20,2
2017-09-21,1
2017-09-22,1
2017-09-27,2
2017-10-02,1
2017-10-03,1
2017-10-10,4
2017-10-15,2
2017-10-16,2
2017-10-23,4
2017-10-25,1
2017-10-28,1
2017-10-29,17
2017-11-01,4
2017-11-03,2
2017-11-08,1
2017-11-09,2
2017-11-10,1
2017-11-16,5
2017-11-18,2
2017-11-19,3
2017-11-25,4
2017-11-30,1
2017-12-01,8
2017-12-02,6
2017-12-03,2
2017-12-04,16
2017-12-09,4
2017-12-10,3
2017-12-11,1
2017-12-14,1
2017-12-15,1
2017-12-16,1
2017-12-17,3
2017-12-18,4
2017-12-19,1
2017-12-26,5
2017-12-27,2
2017-12-29,1
2018-01-02,1
2018-01-04,1
2018-01-05,3
2018-01-08,13
2018-01-09,3
2018-01-13,2
2018-01-23,3
2018-02-05,4
2018-02-08,1
2018-02-09,2
2018-02-13,1
2018-02-15,1
2018-02-20,2
2018-02-21,1
2018-02-25,1
2018-03-13,2
2018-03-16,1
2018-03-20,1
2018-03-21,6
2018-03-22,1
2018-03-25,1
2018-04-12,1
2018-04-18,6
2018-04-22,1
2018-04-24,1
2018-05-05,2
2018-05-06,1
2018-05-14,2
2018-05-16,2
2018-05-20,1
2018-05-21,5
2018-05-25,1
2018-06-02,6
2018-06-12,1
2018-06-14,2
2018-06-16,1
2018-06-17,1
2018-06-22,2
2018-06-28,2
2018-07-03,1
2018-07-04,1
2018-07-08,2
2018-07-15,1
2018-07-17,9
2018-07-20,6
2018-07-21,2
2018-08-09,2
2018-08-12,5
2018-08-24,1
2018-08-31,2
2018-09-03,4
2018-09-10,2
2018-09-18,4
2018-09-19,1
2018-09-26,3
2018-10-06,1
2018-10-07,1
2018-10-08,2
2018-10-10,3
2018-10-11,2
2018-10-12,2
2018-10-17,5
2018-10-18,3
2018-10-19,3
2018-10-21,4
2018-11-01,2
2018-11-03,1
2018-11-13,2
2018-11-14,1
2018-11-17,4
2018-11-20,1
2018-11-21,2
2018-11-25,3
2018-12-01,3
2018-12-12,1
2018-12-13,2
2018-12-14,1
2018-12-18,2
2018-12-20,2
2018-12-23,3
2018-12-25,3
2018-12-27,4
2019-01-01,1
2019-01-03,1
2019-01-04,1
2019-01-09,2
2019-01-15,2
2019-01-16,1
2019-01-18,2
2019-01-21,1
2019-01-28,2
2019-01-30,2
2019-02-01,2
2019-02-02,1
2019-02-03,2
2019-02-09,2
2019-02-14,4
2019-03-05,1
2019-03-08,2
2019-03-12,2
2019-03-18,2
2019-03-21,1
2019-03-25,2
2019-04-13,1
2019-04-14,1
2019-04-28,2
2019-04-29,1
2019-05-03,1
2019-05-04,1
2019-05-05,4
2019-05-13,1
2019-05-16,1
2019-05-17,2
2019-05-23,8
2019-05-26,1
2019-05-30,2
2019-06-02,1
2019-06-08,3
2019-06-13,2
2019-06-18,1
2019-06-24,1
2019-06-25,1
2019-06-27,1
2019-06-28,3
2019-07-11,4
2019-07-13,1
2019-07-16,3
2019-07-22,1
2019-07-27,1
2019-08-14,1
2019-08-15,1
2019-08-18,3
2019-08-20,2
2019-08-28,3
2019-09-12,1
2019-09-13,2
2019-09-17,1
2019-09-18,2
2019-09-22,1
2019-09-23,1
2019-09-24,1
2019-10-02,1
2019-10-03,1
2019-10-05,2
2019-10-18,2
2019-10-28,2
2019-10-29,3
2019-11-06,4
2019-11-19,1
2019-11-28,4
2019-12-01,10
2019-12-08,2
2019-12-13,2
2019-12-26,1
2019-12-27,1
2019-12-30,3
2019-12-31,1
2020-01-07,5
2020-01-12,2
2020-01-14,4
2020-01-18,1
2020-01-23,2
2020-01-27,1
2020-01-28,3
2020-01-30,2
2020-01-31,4
2020-02-02,7
2020-02-03,4
2020-02-04,7
2020-02-09,2
2020-02-11,1
2020-02-12,4
2020-02-13,2
2020-02-17,1
2020-02-18,1
2020-02-20,1
2020-02-23,2
2020-03-04,1
2020-03-08,1
2020-03-09,2
2020-03-14,3
2020-03-16,3
2020-03-22,4
2020-04-02,1
2020-04-14,1
2020-04-15,2
2020-04-16,1
2020-04-22,5
2020-05-02,1
2020-05-06,1
2020-05-10,2
2020-05-26,4
2020-05-31,1
2020-06-02,2
2020-06-09,1
2020-06-20,1
2020-07-07,2
2020-07-11,2
2020-07-16,2
2020-07-21,3
2020-07-22,1
2020-07-31,5
2020-08-02,2
2020-08-10,3
2020-08-16,1
2020-08-20,1
2020-09-14,2
2020-09-23,1
2020-09-24,1
2020-09-25,2
2020-09-29,1
2020-10-08,6
2020-10-15,1
2020-10-16,1
2020-11-03,2
2020-11-07,2
2020-11-08,3
2020-11-11,1
2020-11-23,5
2020-11-30,2
2020-12-05,1
2020-12-07,1
2020-12-09,2
2020-12-15,1
2020-12-28,1
2021-01-18,4
2021-01-22,2
2021-02-09,2
2021-02-11,2
2021-02-16,5
2021-02-23,1
2021-02-24,1
2021-03-24,6
2021-03-29,2
2021-04-05,1
2021-04-08,2
2021-04-09,1
2021-04-18,1
2021-04-20,1
2021-04-23,1
2021-04-26,1
2021-04-27,1
2021-04-28,1
2021-05-14,1
2021-06-05,1
2021-06-06,1
2021-06-07,1
2021-07-09,2
2021-07-22,2
2021-08-01,2
2021-08-06,2
2021-08-10,1
2021-08-11,4
2021-08-12,1
2021-08-13,1
2021-08-29,2
2021-09-03,2
2021-09-04,6
2021-09-08,1
2021-09-16,1
2021-09-20,2
2021-09-22,2
2021-09-27,1
2021-09-29,5
2021-10-01,3
2021-10-09,6
2021-10-11,1
2021-10-12,4
2021-10-16,3
2021-10-24,1
2021-11-07,1
2021-11-09,2
